,id,mig_int,mig_plan,mig_prep,cari,is_cari_secure,mig_intensity
548,173422018,0,0,0,2,1,1
549,173422021,1,0,0,2,1,2
550,173422979,0,0,0,2,1,1
551,173422998,1,0,0,2,1,2
552,173425692,0,0,0,2,1,1
553,173425694,1,1,0,2,1,3
554,173521835,0,0,0,2,1,1
556,173545779,0,0,0,2,1,1
558,173550475,1,0,0,2,1,2
559,173564334,0,0,0,2,1,1
560,173566342,1,0,0,2,1,2
561,173567299,1,0,0,2,1,2
562,173567340,0,0,0,2,1,1
563,173567376,1,0,0,2,1,2
564,173569158,0,0,0,2,1,1
565,173570471,0,0,0,2,1,1
568,173576276,0,0,0,2,1,1
569,173689111,1,0,0,2,1,2
571,173714527,1,0,0,2,1,2
572,173730910,0,0,0,2,1,1
573,173736790,0,0,0,2,1,1
574,173736792,0,0,0,2,1,1
575,173736811,0,0,0,2,1,1
577,173744300,1,0,0,2,1,2
578,173746921,1,0,0,2,1,2
580,173754746,1,1,0,2,1,3
581,173754755,0,0,0,2,1,1
582,173754761,0,0,0,2,1,1
583,173757559,1,0,0,2,1,2
584,173759141,0,0,0,2,1,1
585,173759150,0,0,0,2,1,1
587,173899790,0,0,0,2,1,1
588,173999284,0,0,0,2,1,1
589,173999288,1,0,0,2,1,2
590,174001796,1,0,0,2,1,2
591,174007921,1,0,0,2,1,2
592,174010759,0,0,0,2,1,1
593,174015380,1,0,0,2,1,2
594,174016063,1,1,0,2,1,3
595,174016219,0,0,0,2,1,1
596,174016231,0,0,0,2,1,1
598,174016316,0,0,0,2,1,1
599,174017350,1,0,0,2,1,2
600,174017416,0,0,0,2,1,1
601,174017619,1,1,0,2,1,3
602,174018335,1,0,0,2,1,2
603,174018347,1,0,0,2,1,2
604,174020979,0,0,0,2,1,1
605,174020993,1,0,0,2,1,2
609,174025842,0,0,0,2,1,1
610,174029469,0,0,0,2,1,1
611,174029896,1,0,0,2,1,2
612,174029902,1,0,0,2,1,2
613,174029907,1,0,0,2,1,2
614,174030076,1,0,0,2,1,2
615,174030079,1,0,0,2,1,2
616,174030596,1,0,0,2,1,2
617,174030828,0,0,0,2,1,1
618,174030831,1,0,0,2,1,2
619,174030833,0,0,0,2,1,1
621,174030881,0,0,0,2,1,1
622,174030921,1,0,0,2,1,2
623,174033605,0,0,0,2,1,1
624,174033608,0,0,0,2,1,1
625,174033799,1,1,0,2,1,3
