,id,mig_int,mig_plan,mig_prep,cari,is_cari_secure,mig_intensity
393,175668649,0,0,0,3,0,1
394,175668652,0,0,0,3,0,1
395,175669171,0,0,0,3,0,1
396,175669199,1,1,1,3,0,4
397,175676856,0,0,0,3,0,1
398,175678221,0,0,0,3,0,1
399,175679201,1,0,0,3,0,2
403,175679232,1,1,1,3,0,4
405,175909706,0,0,0,3,0,1
406,175910035,0,0,0,3,0,1
407,175910498,1,1,0,3,0,3
409,175910885,1,0,0,3,0,2
411,175919884,0,0,0,3,0,1
412,175919889,0,0,0,3,0,1
413,175934274,1,0,0,3,0,2
416,175934279,0,0,0,3,0,1
417,175934434,0,0,0,3,0,1
419,175935548,1,0,0,3,0,2
420,175936141,1,0,0,3,0,2
421,175936144,0,0,0,3,0,1
422,175936146,1,1,1,3,0,4
425,175938387,0,0,0,3,0,1
426,175941052,0,0,0,3,0,1
427,176134484,0,0,0,3,0,1
428,176140113,0,0,0,3,0,1
429,176140116,0,0,0,3,0,1
431,176176834,0,0,0,3,0,1
432,176183164,0,0,0,3,0,1
433,176196575,0,0,0,3,0,1
434,176200990,1,1,0,3,0,3
436,176201649,0,0,0,3,0,1
437,176201652,0,0,0,3,0,1
439,176203025,0,0,0,3,0,1
440,176211136,0,0,0,3,0,1
441,176211137,0,0,0,3,0,1
442,176211143,0,0,0,3,0,1
443,176222154,0,0,0,3,0,1
447,176449390,0,0,0,3,0,1
451,176469863,1,0,0,3,0,2
457,176485398,0,0,0,3,0,1
459,176489451,0,0,0,3,0,1
461,176497730,1,0,0,3,0,2
462,176631351,1,0,0,3,0,2
464,176631818,0,0,0,3,0,1
466,176641929,1,0,0,3,0,2
467,176641935,1,0,0,3,0,2
471,176660498,0,0,0,3,0,1
475,177570960,1,1,1,3,0,4
488,172981391,1,0,0,3,0,2
489,172981398,1,0,0,3,0,2
492,172985493,1,0,0,3,0,2
493,172995784,1,1,0,3,0,3
494,173193371,1,0,0,3,0,2
497,173195984,1,0,0,3,0,2
501,173199425,0,0,0,3,0,1
503,173213658,0,0,0,3,0,1
506,173214433,0,0,0,3,0,1
523,173399862,1,0,0,3,0,2
525,173400035,1,0,0,3,0,2
526,173400043,1,0,0,3,0,2
527,173402735,1,0,0,3,0,2
529,173405231,1,0,0,3,0,2
539,173407482,1,0,0,3,0,2
545,173411886,1,0,0,3,0,2
555,173521843,1,0,0,3,0,2
557,173545780,1,99,0,3,0,2
566,173570473,0,0,0,3,0,1
567,173575263,1,0,0,3,0,2
570,173689122,1,1,0,3,0,3
576,173744296,1,0,0,3,0,2
579,173749871,0,0,0,3,0,1
586,173767213,0,0,0,3,0,1
597,174016237,1,0,0,3,0,2
606,174025604,0,0,0,3,0,1
607,174025837,1,0,0,3,0,2
608,174025840,1,0,0,3,0,2
631,174066575,1,0,0,3,0,2
636,174311312,1,0,0,3,0,2
643,174323835,0,0,0,3,0,1
649,174327892,1,0,0,3,0,2
652,174348320,1,0,0,3,0,2
660,174372694,1,0,0,3,0,2
668,174606385,1,0,0,3,0,2
669,174607123,1,1,0,3,0,3
675,174620379,1,0,0,3,0,2
680,174621261,0,0,0,3,0,1
690,174631138,0,0,0,3,0,1
703,174700550,1,0,0,3,0,2
704,174704827,1,0,0,3,0,2
728,174905119,0,0,0,3,0,1
729,174909273,0,0,0,3,0,1
737,174911900,1,0,0,3,0,2
745,174915228,1,0,0,3,0,2
746,174916472,1,0,0,3,0,2
754,174918928,0,0,0,3,0,1
764,174924689,1,0,0,3,0,2
765,174924982,1,0,0,3,0,2
782,175101963,1,1,1,3,0,4
804,175123886,0,0,0,3,0,1
811,175127416,0,0,0,3,0,1
825,175136193,0,0,0,3,0,1
832,175139041,0,0,0,3,0,1
836,175139058,0,0,0,3,0,1
838,175142717,0,0,0,3,0,1
839,175142724,0,0,0,3,0,1
840,175147944,0,0,0,3,0,1
849,175246422,1,0,0,3,0,2
850,175262312,1,0,0,3,0,2
851,175276328,1,1,0,3,0,3
859,175284378,1,0,0,3,0,2
861,175284441,0,0,0,3,0,1
867,175286688,1,0,0,3,0,2
868,175286693,0,0,0,3,0,1
869,175286701,1,1,1,3,0,4
872,175291580,1,0,0,3,0,2
896,175659789,1,1,1,3,0,4
912,175669004,0,0,0,3,0,1
914,175669981,0,0,0,3,0,1
919,175674711,1,0,0,3,0,2
920,175674713,0,0,0,3,0,1
921,175676993,1,0,0,3,0,2
927,175690301,1,0,0,3,0,2
931,175902764,0,0,0,3,0,1
953,175922648,0,0,0,3,0,1
955,175923832,0,0,0,3,0,1
958,175924408,1,0,0,3,0,2
959,175924414,0,0,0,3,0,1
967,175936387,0,0,0,3,0,1
968,175937995,1,1,0,3,0,3
971,175940359,1,0,0,3,0,2
1001,176201709,0,0,0,3,0,1
1005,176211156,0,0,0,3,0,1
1010,176449398,1,0,0,3,0,2
1020,176455472,0,0,0,3,0,1
1023,176465858,1,0,0,3,0,2
1051,177572662,0,0,0,3,0,1
1284,173220259,1,1,1,3,0,4
1493,173422991,1,0,0,3,0,2
1612,173576232,0,0,0,3,0,1
2110,174309653,0,0,0,3,0,1
3171,175127311,1,0,0,3,0,2
4275,175937991,0,0,0,3,0,1
4349,176140413,0,0,0,3,0,1
